date,city,station,sigma_f,labels_json,best_contract,yes_ask_prob,model_prob,value_prob,observed_high_f,winning_contract,won,profit,strategy,computed_winning,computed_won
2026-01-09,NYC,KNYC,2.0,"[""48° or below"", ""49° to 50°"", ""51° to 52°"", ""53° to 54°"", ""55° to 56°"", ""57° or above""]",55° to 56°,0.06,0.538897,0.478897,53.1,53° to 54°,0,-0.060000,lock_0930,53° to 54°,0
2026-01-09,Miami,KMIA,2.0,"[""75° or below"", ""76° to 77°"", ""78° to 79°"", ""80° to 81°"", ""82° to 83°"", ""84° or above""]",80° to 81°,0.83,0.507153,-0.322847,81.0,80° to 81°,1,0.170000,lock_1200,80° to 81°,1
2026-01-09,Miami,KMIA,2.0,"[""75° or below"", ""76° to 77°"", ""78° to 79°"", ""80° to 81°"", ""82° to 83°"", ""84° or above""]",80° to 81°,0.83,0.507153,-0.322847,81.0,80° to 81°,1,0.170000,lock_0930,80° to 81°,1
2026-01-09,Los Angeles,KLAX,2.0,"[""59° or below"", ""60° to 61°"", ""62° to 63°"", ""64° to 65°"", ""66° to 67°"", ""68° or above""]",64° to 65°,0.39,0.576976,0.186976,62.6,62° to 63°,0,-0.390000,lock_1200,62° to 63°,0
2026-01-09,Denver,KDEN,2.0,"[""30° or below"", ""31° to 32°"", ""33° to 34°"", ""35° to 36°"", ""37° to 38°"", ""39° or above""]",35° to 36°,0.35,0.547994,0.197994,32.0,31° to 32°,0,-0.350000,lock_0930,31° to 32°,0
2026-01-09,Austin,KAUS,2.0,"[""72° or below"", ""73° to 74°"", ""75° to 76°"", ""77° to 78°"", ""79° to 80°"", ""81° or above""]",72° or below,0.86,0.563005,-0.296995,72.0,72° or below,1,0.140000,lock_0930,72° or below,1
2026-01-09,Los Angeles,KLAX,2.0,"[""59° or below"", ""60° to 61°"", ""62° to 63°"", ""64° to 65°"", ""66° to 67°"", ""68° or above""]",64° to 65°,0.39,0.576976,0.186976,62.6,62° to 63°,0,-0.390000,lock_0930,62° to 63°,0
2026-01-09,Philadelphia,KPHL,2.0,"[""52° or below"", ""53° to 54°"", ""55° to 56°"", ""57° to 58°"", ""59° to 60°"", ""61° or above""]",57° to 58°,0.25,0.603766,0.353766,55.4,55° to 56°,0,-0.250000,lock_1200,55° to 56°,0
2026-01-09,Philadelphia,KPHL,2.0,"[""52° or below"", ""53° to 54°"", ""55° to 56°"", ""57° to 58°"", ""59° to 60°"", ""61° or above""]",57° to 58°,0.25,0.603766,0.353766,55.4,55° to 56°,0,-0.250000,lock_0930,55° to 56°,0
2026-01-09,Denver,KDEN,2.0,"[""30° or below"", ""31° to 32°"", ""33° to 34°"", ""35° to 36°"", ""37° to 38°"", ""39° or above""]",35° to 36°,0.35,0.547994,0.197994,32.0,31° to 32°,0,-0.350000,lock_1200,31° to 32°,0
2026-01-09,Austin,KAUS,2.0,"[""72° or below"", ""73° to 74°"", ""75° to 76°"", ""77° to 78°"", ""79° to 80°"", ""81° or above""]",72° or below,0.86,0.563005,-0.296995,72.0,72° or below,1,0.140000,lock_1200,72° or below,1
2026-01-10,Philadelphia,KPHL,2.000000,"{""labels"": [""51° or below"", ""52° to 53°"", ""54° to 55°"", ""56° to 57°"", ""58° to 59°"", ""60° or above""], ""bounds"": [{""label"": ""51° or below"", ""lo"": null, ""hi"": 51}, {""label"": ""52° to 53°"", ""lo"": 52, ""hi"": 53}, {""label"": ""54° to 55°"", ""lo"": 54, ""hi"": 55}, {""label"": ""56° to 57°"", ""lo"": 56, ""hi"": 57}, {""label"": ""58° to 59°"", ""lo"": 58, ""hi"": 59}, {""label"": ""60° or above"", ""lo"": 60, ""hi"": null}]}",51° or below,0.980000,0.991504,0.011504,,,,,,,lock_0930
2026-01-10,Los Angeles,KLAX,2.000000,"{""labels"": [""63° or below"", ""64° to 65°"", ""66° to 67°"", ""68° to 69°"", ""70° to 71°"", ""72° or above""], ""bounds"": [{""label"": ""63° or below"", ""lo"": null, ""hi"": 63}, {""label"": ""64° to 65°"", ""lo"": 64, ""hi"": 65}, {""label"": ""66° to 67°"", ""lo"": 66, ""hi"": 67}, {""label"": ""68° to 69°"", ""lo"": 68, ""hi"": 69}, {""label"": ""70° to 71°"", ""lo"": 70, ""hi"": 71}, {""label"": ""72° or above"", ""lo"": 72, ""hi"": null}]}",68° to 69°,0.390000,0.434695,0.044695,,,,,,,lock_0930
